scenario_id,scenario_name,model_projection_date,target,target_end_date,sample,location,value,age_group
A-2022-08-14,highVac_optImm,2022-08-14,4 wk ahead inc hosp,2022-09-10,2,US,0.45290282042416463,0-130
A-2022-08-14,highVac_optImm,2022-08-14,5 wk ahead inc hosp,2022-09-17,2,US,0.4994250673775118,0-130
A-2022-08-14,highVac_optImm,2022-08-14,6 wk ahead inc hosp,2022-09-24,2,US,9.79325567623003,0-130
A-2022-08-14,highVac_optImm,2022-08-14,7 wk ahead inc hosp,2022-10-01,2,US,57.107031032422064,0-130
A-2022-08-14,highVac_optImm,2022-08-14,8 wk ahead inc hosp,2022-10-08,2,US,154.07089081302766,0-130
A-2022-08-14,highVac_optImm,2022-08-14,9 wk ahead inc hosp,2022-10-15,2,US,40.87850812160873,0-130
A-2022-08-14,highVac_optImm,2022-08-14,10 wk ahead inc hosp,2022-10-22,2,US,45.226899116540956,0-130
A-2022-08-14,highVac_optImm,2022-08-14,11 wk ahead inc hosp,2022-10-29,2,US,48.28076466750579,0-130
A-2022-08-14,highVac_optImm,2022-08-14,12 wk ahead inc hosp,2022-11-05,2,US,69.65971010739831,0-130
A-2022-08-14,highVac_optImm,2022-08-14,13 wk ahead inc hosp,2022-11-12,2,US,161.6935377055827,0-130
A-2022-08-14,highVac_optImm,2022-08-14,14 wk ahead inc hosp,2022-11-19,2,US,204.32874839464398,0-130
A-2022-08-14,highVac_optImm,2022-08-14,15 wk ahead inc hosp,2022-11-26,2,US,424.56536565950364,0-130
A-2022-08-14,highVac_optImm,2022-08-14,16 wk ahead inc hosp,2022-12-03,2,US,383.7727046795714,0-130
A-2022-08-14,highVac_optImm,2022-08-14,17 wk ahead inc hosp,2022-12-10,2,US,2212.460713197448,0-130
A-2022-08-14,highVac_optImm,2022-08-14,18 wk ahead inc hosp,2022-12-17,2,US,2371.209022026107,0-130
A-2022-08-14,highVac_optImm,2022-08-14,19 wk ahead inc hosp,2022-12-24,2,US,2474.8499973799394,0-130
A-2022-08-14,highVac_optImm,2022-08-14,20 wk ahead inc hosp,2022-12-31,2,US,8981.885149080907,0-130
A-2022-08-14,highVac_optImm,2022-08-14,21 wk ahead inc hosp,2023-01-07,2,US,8126.399248987227,0-130
A-2022-08-14,highVac_optImm,2022-08-14,22 wk ahead inc hosp,2023-01-14,2,US,11226.16930788268,0-130
A-2022-08-14,highVac_optImm,2022-08-14,23 wk ahead inc hosp,2023-01-21,2,US,11844.622052948114,0-130
A-2022-08-14,highVac_optImm,2022-08-14,24 wk ahead inc hosp,2023-01-28,2,US,15708.785467711341,0-130
A-2022-08-14,highVac_optImm,2022-08-14,25 wk ahead inc hosp,2023-02-04,2,US,759.1662830846943,0-130
A-2022-08-14,highVac_optImm,2022-08-14,26 wk ahead inc hosp,2023-02-11,2,US,1173.4995726211628,0-130
A-2022-08-14,highVac_optImm,2022-08-14,27 wk ahead inc hosp,2023-02-18,2,US,931.609842816717,0-130
A-2022-08-14,highVac_optImm,2022-08-14,28 wk ahead inc hosp,2023-02-25,2,US,1046.458395329524,0-130
A-2022-08-14,highVac_optImm,2022-08-14,29 wk ahead inc hosp,2023-03-04,2,US,1208.9629362936003,0-130
A-2022-08-14,highVac_optImm,2022-08-14,30 wk ahead inc hosp,2023-03-11,2,US,661.5873861215663,0-130
A-2022-08-14,highVac_optImm,2022-08-14,31 wk ahead inc hosp,2023-03-18,2,US,88.0545506817008,0-130
A-2022-08-14,highVac_optImm,2022-08-14,32 wk ahead inc hosp,2023-03-25,2,US,172.89792534510738,0-130
A-2022-08-14,highVac_optImm,2022-08-14,33 wk ahead inc hosp,2023-04-01,2,US,176.02625695877163,0-130
A-2022-08-14,highVac_optImm,2022-08-14,34 wk ahead inc hosp,2023-04-08,2,US,265.8504447318798,0-130
A-2022-08-14,highVac_optImm,2022-08-14,35 wk ahead inc hosp,2023-04-15,2,US,117.17999951819739,0-130
A-2022-08-14,highVac_optImm,2022-08-14,36 wk ahead inc hosp,2023-04-22,2,US,99.45908075603712,0-130
A-2022-08-14,highVac_optImm,2022-08-14,37 wk ahead inc hosp,2023-04-29,2,US,84.93036239229461,0-130
A-2022-08-14,highVac_optImm,2022-08-14,38 wk ahead inc hosp,2023-05-06,2,US,59.985334579660844,0-130
A-2022-08-14,highVac_optImm,2022-08-14,39 wk ahead inc hosp,2023-05-13,2,US,27.774033753073606,0-130
A-2022-08-14,highVac_optImm,2022-08-14,40 wk ahead inc hosp,2023-05-20,2,US,34.47707845173401,0-130
A-2022-08-14,highVac_optImm,2022-08-14,41 wk ahead inc hosp,2023-05-27,2,US,29.22360426507959,0-130
A-2022-08-14,highVac_optImm,2022-08-14,42 wk ahead inc hosp,2023-06-03,2,US,17.07210530507724,0-130
