model_projection_date,target,location,target_end_date,type,quantile,value,scenario_name,scenario_id,age_group
2022-12-04,1 wk ahead cum hosp,18,2022-12-10,quantile,0.01,1786.54,highVE_optImm,A-2022-12-04,0-130
2022-12-04,1 wk ahead cum hosp,18,2022-12-10,quantile,0.025,1952.9250000000002,highVE_optImm,A-2022-12-04,0-130
2022-12-04,1 wk ahead cum hosp,18,2022-12-10,quantile,0.05,2020.6499999999999,highVE_optImm,A-2022-12-04,0-130
2022-12-04,1 wk ahead cum hosp,18,2022-12-10,quantile,0.1,2129.6,highVE_optImm,A-2022-12-04,0-130
2022-12-04,1 wk ahead cum hosp,18,2022-12-10,quantile,0.15,2198.1000000000004,highVE_optImm,A-2022-12-04,0-130
2022-12-04,1 wk ahead cum hosp,18,2022-12-10,quantile,0.2,2254,highVE_optImm,A-2022-12-04,0-130
2022-12-04,1 wk ahead cum hosp,18,2022-12-10,quantile,0.25,2300.75,highVE_optImm,A-2022-12-04,0-130
2022-12-04,1 wk ahead cum hosp,18,2022-12-10,quantile,0.3,2330.7000000000003,highVE_optImm,A-2022-12-04,0-130
2022-12-04,1 wk ahead cum hosp,18,2022-12-10,quantile,0.35,2380.4500000000003,highVE_optImm,A-2022-12-04,0-130
2022-12-04,1 wk ahead cum hosp,18,2022-12-10,quantile,0.4,2454.2,highVE_optImm,A-2022-12-04,0-130
2022-12-04,1 wk ahead cum hosp,18,2022-12-10,quantile,0.45,2491.3,highVE_optImm,A-2022-12-04,0-130
2022-12-04,1 wk ahead cum hosp,18,2022-12-10,quantile,0.5,2561,highVE_optImm,A-2022-12-04,0-130
2022-12-04,1 wk ahead cum hosp,18,2022-12-10,quantile,0.55,2595.9,highVE_optImm,A-2022-12-04,0-130
2022-12-04,1 wk ahead cum hosp,18,2022-12-10,quantile,0.6,2621,highVE_optImm,A-2022-12-04,0-130
2022-12-04,1 wk ahead cum hosp,18,2022-12-10,quantile,0.65,2697.1,highVE_optImm,A-2022-12-04,0-130
2022-12-04,1 wk ahead cum hosp,18,2022-12-10,quantile,0.7,2796.2000000000003,highVE_optImm,A-2022-12-04,0-130
2022-12-04,1 wk ahead cum hosp,18,2022-12-10,quantile,0.75,2939.25,highVE_optImm,A-2022-12-04,0-130
2022-12-04,1 wk ahead cum hosp,18,2022-12-10,quantile,0.8,3070,highVE_optImm,A-2022-12-04,0-130
2022-12-04,1 wk ahead cum hosp,18,2022-12-10,quantile,0.85,3181.4,highVE_optImm,A-2022-12-04,0-130
2022-12-04,1 wk ahead cum hosp,18,2022-12-10,quantile,0.9,3280.2,highVE_optImm,A-2022-12-04,0-130
2022-12-04,1 wk ahead cum hosp,18,2022-12-10,quantile,0.95,3410.95,highVE_optImm,A-2022-12-04,0-130
2022-12-04,1 wk ahead cum hosp,18,2022-12-10,quantile,0.975,3653.699999999998,highVE_optImm,A-2022-12-04,0-130
2022-12-04,1 wk ahead cum hosp,18,2022-12-10,quantile,0.99,3841.78,highVE_optImm,A-2022-12-04,0-130
2022-12-04,1 wk ahead cum hosp,18,2022-12-10,quantile,0.01,1560.2199999999998,highVE_pesImm,B-2022-12-04,0-130
2022-12-04,1 wk ahead cum hosp,18,2022-12-10,quantile,0.025,1615.4250000000002,highVE_pesImm,B-2022-12-04,0-130
2022-12-04,1 wk ahead cum hosp,18,2022-12-10,quantile,0.05,1649.5,highVE_pesImm,B-2022-12-04,0-130
2022-12-04,1 wk ahead cum hosp,18,2022-12-10,quantile,0.1,1819.5,highVE_pesImm,B-2022-12-04,0-130
2022-12-04,1 wk ahead cum hosp,18,2022-12-10,quantile,0.15,1833.25,highVE_pesImm,B-2022-12-04,0-130
2022-12-04,1 wk ahead cum hosp,18,2022-12-10,quantile,0.2,1897.8000000000002,highVE_pesImm,B-2022-12-04,0-130
2022-12-04,1 wk ahead cum hosp,18,2022-12-10,quantile,0.25,1950.5,highVE_pesImm,B-2022-12-04,0-130
2022-12-04,1 wk ahead cum hosp,18,2022-12-10,quantile,0.3,2130,highVE_pesImm,B-2022-12-04,0-130
2022-12-04,1 wk ahead cum hosp,18,2022-12-10,quantile,0.35,2433.750000000001,highVE_pesImm,B-2022-12-04,0-130
2022-12-04,1 wk ahead cum hosp,18,2022-12-10,quantile,0.4,2706,highVE_pesImm,B-2022-12-04,0-130
2022-12-04,1 wk ahead cum hosp,18,2022-12-10,quantile,0.45,2845.3500000000004,highVE_pesImm,B-2022-12-04,0-130
2022-12-04,1 wk ahead cum hosp,18,2022-12-10,quantile,0.5,2980,highVE_pesImm,B-2022-12-04,0-130
2022-12-04,1 wk ahead cum hosp,18,2022-12-10,quantile,0.55,3028.45,highVE_pesImm,B-2022-12-04,0-130
2022-12-04,1 wk ahead cum hosp,18,2022-12-10,quantile,0.6,3202,highVE_pesImm,B-2022-12-04,0-130
2022-12-04,1 wk ahead cum hosp,18,2022-12-10,quantile,0.65,3354.15,highVE_pesImm,B-2022-12-04,0-130
2022-12-04,1 wk ahead cum hosp,18,2022-12-10,quantile,0.7,3395.9,highVE_pesImm,B-2022-12-04,0-130
2022-12-04,1 wk ahead cum hosp,18,2022-12-10,quantile,0.75,3500.5,highVE_pesImm,B-2022-12-04,0-130
