scenario_id,scenario_name,model_projection_date,target,target_end_date,quantile,type,location,value,age_group
A-2022-12-04,highVE_optImm,2022-12-04,1 wk ahead peak time hosp,2022-12-10,NA,point,06,0.89,0-130
A-2022-12-04,highVE_optImm,2022-12-04,2 wk ahead peak time hosp,2022-12-17,NA,point,06,0.89,0-130
A-2022-12-04,highVE_optImm,2022-12-04,3 wk ahead peak time hosp,2022-12-24,NA,point,06,0.89,0-130
A-2022-12-04,highVE_optImm,2022-12-04,4 wk ahead peak time hosp,2022-12-31,NA,point,06,0.89,0-130
A-2022-12-04,highVE_optImm,2022-12-04,5 wk ahead peak time hosp,2023-01-07,NA,point,06,1,0-130
A-2022-12-04,highVE_optImm,2022-12-04,6 wk ahead peak time hosp,2023-01-14,NA,point,06,1,0-130
A-2022-12-04,highVE_optImm,2022-12-04,7 wk ahead peak time hosp,2023-01-21,NA,point,06,1,0-130
A-2022-12-04,highVE_optImm,2022-12-04,8 wk ahead peak time hosp,2023-01-28,NA,point,06,1,0-130
A-2022-12-04,highVE_optImm,2022-12-04,9 wk ahead peak time hosp,2023-02-04,NA,point,06,1,0-130
A-2022-12-04,highVE_optImm,2022-12-04,10 wk ahead peak time hosp,2023-02-11,NA,point,06,1,0-130
A-2022-12-04,highVE_optImm,2022-12-04,11 wk ahead peak time hosp,2023-02-18,NA,point,06,1,0-130
A-2022-12-04,highVE_optImm,2022-12-04,12 wk ahead peak time hosp,2023-02-25,NA,point,06,1,0-130
A-2022-12-04,highVE_optImm,2022-12-04,13 wk ahead peak time hosp,2023-03-04,NA,point,06,1,0-130
A-2022-12-04,highVE_optImm,2022-12-04,14 wk ahead peak time hosp,2023-03-11,NA,point,06,1,0-130
A-2022-12-04,highVE_optImm,2022-12-04,15 wk ahead peak time hosp,2023-03-18,NA,point,06,1,0-130
A-2022-12-04,highVE_optImm,2022-12-04,16 wk ahead peak time hosp,2023-03-25,NA,point,06,1,0-130
A-2022-12-04,highVE_optImm,2022-12-04,17 wk ahead peak time hosp,2023-04-01,NA,point,06,1,0-130
A-2022-12-04,highVE_optImm,2022-12-04,18 wk ahead peak time hosp,2023-04-08,NA,point,06,1,0-130
A-2022-12-04,highVE_optImm,2022-12-04,19 wk ahead peak time hosp,2023-04-15,NA,point,06,1,0-130
A-2022-12-04,highVE_optImm,2022-12-04,20 wk ahead peak time hosp,2023-04-22,NA,point,06,1,0-130
A-2022-12-04,highVE_optImm,2022-12-04,21 wk ahead peak time hosp,2023-04-29,NA,point,06,1,0-130
A-2022-12-04,highVE_optImm,2022-12-04,22 wk ahead peak time hosp,2023-05-06,NA,point,06,1,0-130
A-2022-12-04,highVE_optImm,2022-12-04,23 wk ahead peak time hosp,2023-05-13,NA,point,06,1,0-130
A-2022-12-04,highVE_optImm,2022-12-04,24 wk ahead peak time hosp,2023-05-20,NA,point,06,1,0-130
A-2022-12-04,highVE_optImm,2022-12-04,25 wk ahead peak time hosp,2023-05-27,NA,point,06,1,0-130
A-2022-12-04,highVE_optImm,2022-12-04,26 wk ahead peak time hosp,2023-06-03,NA,point,06,1,0-130
A-2022-12-04,highVE_optImm,2022-12-04,1 wk ahead peak time hosp,2022-12-10,NA,point,06,0.93,0-4
A-2022-12-04,highVE_optImm,2022-12-04,2 wk ahead peak time hosp,2022-12-17,NA,point,06,0.93,0-4
A-2022-12-04,highVE_optImm,2022-12-04,3 wk ahead peak time hosp,2022-12-24,NA,point,06,0.93,0-4
A-2022-12-04,highVE_optImm,2022-12-04,4 wk ahead peak time hosp,2022-12-31,NA,point,06,0.9700000000000001,0-4
A-2022-12-04,highVE_optImm,2022-12-04,5 wk ahead peak time hosp,2023-01-07,NA,point,06,0.9900000000000001,0-4
A-2022-12-04,highVE_optImm,2022-12-04,6 wk ahead peak time hosp,2023-01-14,NA,point,06,1,0-4
A-2022-12-04,highVE_optImm,2022-12-04,7 wk ahead peak time hosp,2023-01-21,NA,point,06,1,0-4
A-2022-12-04,highVE_optImm,2022-12-04,8 wk ahead peak time hosp,2023-01-28,NA,point,06,1,0-4
A-2022-12-04,highVE_optImm,2022-12-04,9 wk ahead peak time hosp,2023-02-04,NA,point,06,1,0-4
A-2022-12-04,highVE_optImm,2022-12-04,10 wk ahead peak time hosp,2023-02-11,NA,point,06,1,0-4
A-2022-12-04,highVE_optImm,2022-12-04,11 wk ahead peak time hosp,2023-02-18,NA,point,06,1,0-4
A-2022-12-04,highVE_optImm,2022-12-04,12 wk ahead peak time hosp,2023-02-25,NA,point,06,1,0-4
A-2022-12-04,highVE_optImm,2022-12-04,13 wk ahead peak time hosp,2023-03-04,NA,point,06,1,0-4
A-2022-12-04,highVE_optImm,2022-12-04,14 wk ahead peak time hosp,2023-03-11,NA,point,06,1,0-4
A-2022-12-04,highVE_optImm,2022-12-04,15 wk ahead peak time hosp,2023-03-18,NA,point,06,1,0-4
A-2022-12-04,highVE_optImm,2022-12-04,16 wk ahead peak time hosp,2023-03-25,NA,point,06,1,0-4
A-2022-12-04,highVE_optImm,2022-12-04,17 wk ahead peak time hosp,2023-04-01,NA,point,06,1,0-4
