scenario_id,scenario_name,model_projection_date,target,target_end_date,sample,location,value,age_group
C-2022-11-13,lowVE_optImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,11,42,26,0-130
C-2022-11-13,lowVE_optImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,12,42,39,0-130
C-2022-11-13,lowVE_optImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,13,42,39,0-130
C-2022-11-13,lowVE_optImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,14,42,26,0-130
C-2022-11-13,lowVE_optImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,15,42,35,0-130
C-2022-11-13,lowVE_optImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,16,42,39,0-130
C-2022-11-13,lowVE_optImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,17,42,28,0-130
C-2022-11-13,lowVE_optImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,18,42,29,0-130
C-2022-11-13,lowVE_optImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,19,42,38,0-130
C-2022-11-13,lowVE_optImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,20,42,25,0-130
D-2022-11-13,lowVE_pesImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,1,42,35,0-130
D-2022-11-13,lowVE_pesImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,2,42,36,0-130
D-2022-11-13,lowVE_pesImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,3,42,31,0-130
D-2022-11-13,lowVE_pesImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,4,42,24,0-130
D-2022-11-13,lowVE_pesImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,5,42,41,0-130
D-2022-11-13,lowVE_pesImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,6,42,37,0-130
D-2022-11-13,lowVE_pesImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,7,42,37,0-130
D-2022-11-13,lowVE_pesImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,8,42,38,0-130
D-2022-11-13,lowVE_pesImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,9,42,26,0-130
D-2022-11-13,lowVE_pesImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,10,42,42,0-130
D-2022-11-13,lowVE_pesImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,11,42,45,0-130
D-2022-11-13,lowVE_pesImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,12,42,34,0-130
D-2022-11-13,lowVE_pesImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,13,42,31,0-130
D-2022-11-13,lowVE_pesImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,14,42,38,0-130
D-2022-11-13,lowVE_pesImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,15,42,40,0-130
D-2022-11-13,lowVE_pesImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,16,42,23,0-130
D-2022-11-13,lowVE_pesImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,17,42,29,0-130
D-2022-11-13,lowVE_pesImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,18,42,41,0-130
D-2022-11-13,lowVE_pesImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,19,42,37,0-130
D-2022-11-13,lowVE_pesImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,20,42,38,0-130
A-2022-11-13,highVE_optImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,1,42,22,0-130
