"sample","value","target_end_date","scenario_name","location","target","age_group","scenario_id","model_projection_date"
45,5427.40962480166,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
46,5366.93584303065,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
47,5344.03557362513,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
48,5681.0679677459,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
49,5163.11867133226,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
50,5258.11897410441,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
51,5025.40374876472,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
52,4673.82006478219,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
53,4594.46911453184,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
54,5008.11831978552,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
55,5085.94081241397,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
56,4686.33565947744,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
57,5293.82981603125,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
58,4880.41695778155,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
59,4630.82717041747,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
60,5302.04968476849,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
61,4248.11046137574,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
62,5195.37498443577,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
63,5228.19900869546,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
64,4968.43889990067,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
65,5298.21130550697,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
66,5375.00996822445,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
67,4942.23560128563,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
68,4746.04831287802,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
69,5410.11314969214,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
70,5201.04328214467,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
71,4890.09731065893,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
72,5421.98333925129,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
73,5741.02346002306,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
74,5204.52706877848,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
75,4890.98770294553,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
76,4670.90906181564,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
77,5082.16684680587,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
78,4627.87297074319,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
79,5357.11253876909,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
80,4424.38931281028,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
81,4975.67380929415,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
82,5291.68381015337,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
83,4688.88886989256,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
84,4879.08956475017,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
85,4785.57854399557,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
86,4757.32692371568,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
87,5068.75587911566,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
88,5227.08715114852,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
89,5008.12880201145,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
90,5421.94447224231,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
91,5389.14893948674,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
92,4379.05242329373,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
