"sample","value","target_end_date","scenario_id","scenario_name","model_projection_date","location","target","age_group"
1,9742.08681623714,"2022-12-10","A-2022-12-04","highVE_optImm","2022-12-04","US","1 wk ahead inc hosp","0-130"
2,8818.31634523229,"2022-12-10","A-2022-12-04","highVE_optImm","2022-12-04","US","1 wk ahead inc hosp","0-130"
3,9943.33564546017,"2022-12-10","A-2022-12-04","highVE_optImm","2022-12-04","US","1 wk ahead inc hosp","0-130"
4,11067.3555249511,"2022-12-10","A-2022-12-04","highVE_optImm","2022-12-04","US","1 wk ahead inc hosp","0-130"
5,8985.9920315765,"2022-12-10","A-2022-12-04","highVE_optImm","2022-12-04","US","1 wk ahead inc hosp","0-130"
6,13959.4065746635,"2022-12-10","A-2022-12-04","highVE_optImm","2022-12-04","US","1 wk ahead inc hosp","0-130"
7,8526.06716250431,"2022-12-10","A-2022-12-04","highVE_optImm","2022-12-04","US","1 wk ahead inc hosp","0-130"
8,9506.20396065421,"2022-12-10","A-2022-12-04","highVE_optImm","2022-12-04","US","1 wk ahead inc hosp","0-130"
9,9051.8033038168,"2022-12-10","A-2022-12-04","highVE_optImm","2022-12-04","US","1 wk ahead inc hosp","0-130"
10,11840.4089577907,"2022-12-10","A-2022-12-04","highVE_optImm","2022-12-04","US","1 wk ahead inc hosp","0-130"
11,9275.45619033816,"2022-12-10","A-2022-12-04","highVE_optImm","2022-12-04","US","1 wk ahead inc hosp","0-130"
12,9835.94304112893,"2022-12-10","A-2022-12-04","highVE_optImm","2022-12-04","US","1 wk ahead inc hosp","0-130"
13,13463.5220282262,"2022-12-10","A-2022-12-04","highVE_optImm","2022-12-04","US","1 wk ahead inc hosp","0-130"
14,9308.63212232959,"2022-12-10","A-2022-12-04","highVE_optImm","2022-12-04","US","1 wk ahead inc hosp","0-130"
15,9949.53783922157,"2022-12-10","A-2022-12-04","highVE_optImm","2022-12-04","US","1 wk ahead inc hosp","0-130"
16,9408.64773221976,"2022-12-10","A-2022-12-04","highVE_optImm","2022-12-04","US","1 wk ahead inc hosp","0-130"
17,9624.14228605812,"2022-12-10","A-2022-12-04","highVE_optImm","2022-12-04","US","1 wk ahead inc hosp","0-130"
18,10704.3263042099,"2022-12-10","A-2022-12-04","highVE_optImm","2022-12-04","US","1 wk ahead inc hosp","0-130"
19,8991.34480554002,"2022-12-10","A-2022-12-04","highVE_optImm","2022-12-04","US","1 wk ahead inc hosp","0-130"
20,14684.6885168061,"2022-12-10","A-2022-12-04","highVE_optImm","2022-12-04","US","1 wk ahead inc hosp","0-130"
21,15489.0692953981,"2022-12-10","A-2022-12-04","highVE_optImm","2022-12-04","US","1 wk ahead inc hosp","0-130"
22,11682.031398736,"2022-12-10","A-2022-12-04","highVE_optImm","2022-12-04","US","1 wk ahead inc hosp","0-130"
23,16006.3178673645,"2022-12-10","A-2022-12-04","highVE_optImm","2022-12-04","US","1 wk ahead inc hosp","0-130"
24,11586.4346798388,"2022-12-10","A-2022-12-04","highVE_optImm","2022-12-04","US","1 wk ahead inc hosp","0-130"
25,10332.7649633596,"2022-12-10","A-2022-12-04","highVE_optImm","2022-12-04","US","1 wk ahead inc hosp","0-130"
26,9311.37267539028,"2022-12-10","A-2022-12-04","highVE_optImm","2022-12-04","US","1 wk ahead inc hosp","0-130"
27,10168.2309275941,"2022-12-10","A-2022-12-04","highVE_optImm","2022-12-04","US","1 wk ahead inc hosp","0-130"
28,13502.1410846129,"2022-12-10","A-2022-12-04","highVE_optImm","2022-12-04","US","1 wk ahead inc hosp","0-130"
29,9715.8102911027,"2022-12-10","A-2022-12-04","highVE_optImm","2022-12-04","US","1 wk ahead inc hosp","0-130"
30,14211.2509098682,"2022-12-10","A-2022-12-04","highVE_optImm","2022-12-04","US","1 wk ahead inc hosp","0-130"
31,10020.7391733417,"2022-12-10","A-2022-12-04","highVE_optImm","2022-12-04","US","1 wk ahead inc hosp","0-130"
32,14757.6217692743,"2022-12-10","A-2022-12-04","highVE_optImm","2022-12-04","US","1 wk ahead inc hosp","0-130"
33,10057.1094365451,"2022-12-10","A-2022-12-04","highVE_optImm","2022-12-04","US","1 wk ahead inc hosp","0-130"
34,9797.07658294875,"2022-12-10","A-2022-12-04","highVE_optImm","2022-12-04","US","1 wk ahead inc hosp","0-130"
35,13546.6878057896,"2022-12-10","A-2022-12-04","highVE_optImm","2022-12-04","US","1 wk ahead inc hosp","0-130"
36,9039.67414754697,"2022-12-10","A-2022-12-04","highVE_optImm","2022-12-04","US","1 wk ahead inc hosp","0-130"
37,11851.0142692224,"2022-12-10","A-2022-12-04","highVE_optImm","2022-12-04","US","1 wk ahead inc hosp","0-130"
38,11197.8288900662,"2022-12-10","A-2022-12-04","highVE_optImm","2022-12-04","US","1 wk ahead inc hosp","0-130"
39,16077.4302992766,"2022-12-10","A-2022-12-04","highVE_optImm","2022-12-04","US","1 wk ahead inc hosp","0-130"
40,12966.1548756658,"2022-12-10","A-2022-12-04","highVE_optImm","2022-12-04","US","1 wk ahead inc hosp","0-130"
41,9395.89562948857,"2022-12-10","A-2022-12-04","highVE_optImm","2022-12-04","US","1 wk ahead inc hosp","0-130"
42,9176.39377528589,"2022-12-10","A-2022-12-04","highVE_optImm","2022-12-04","US","1 wk ahead inc hosp","0-130"
